date,actual,predicted,train_mean,y_train_mean,inner_idx,sstart,window_end
2014-03-01,0.001173027,-0.0005003925951680963,0.0013152166588235295,0.0013152166588235295,0,32,2015-04-01
2014-04-01,0.003443963,-0.0004118508260933444,0.0012745447764705882,0.0012745447764705882,0,33,2015-05-01
2014-05-01,0.003637652,0.0029653921243347637,0.0012937710117647057,0.0012937710117647057,0,34,2015-06-01
2014-06-01,0.00280792,-0.0024465947886049637,0.0013244952235294115,0.0013244952235294115,0,35,2015-07-01
2014-07-01,0.000590749,0.0035176120953719784,0.0013096066117647056,0.0013096066117647056,0,36,2015-08-01
2014-08-01,-0.001563173,-0.00012401531250076495,0.0012864302588235295,0.0012864302588235295,0,37,2015-09-01
2014-09-01,0.006198417,0.003429639701684632,0.0012733148941176469,0.0012733148941176469,0,38,2015-10-01
2014-10-01,0.004123472,0.0024061855246693097,0.0013149641176470588,0.0013149641176470588,0,39,2015-11-01
2014-11-01,-0.000709675,0.0021803358146567113,0.0013862419176470587,0.0013862419176470587,0,40,2015-12-01
2014-12-01,0.001902856,0.0023055629902229103,0.0013692105529411762,0.0013692105529411762,0,41,2016-01-01
2015-01-01,-0.003601423,0.00415576201190869,0.0013826384588235291,0.0013826384588235291,0,42,2016-02-01
2015-02-01,-0.000648095,0.0026972925677702644,0.0013862731882352938,0.0013862731882352938,0,43,2016-03-01
2015-03-01,-0.000897463,0.0007017557701271615,0.0013395928235294115,0.0013395928235294115,0,44,2016-04-01
2015-04-01,-0.000838176,0.004661514286973028,0.0013455813058823526,0.0013455813058823526,0,45,2016-05-01
2015-05-01,-0.001983337,0.0008658439783234274,0.0013418905999999997,0.0013418905999999997,0,46,2016-06-01
2015-06-01,0.003778411,0.0003385796211358731,0.0012777661294117646,0.0012777661294117646,0,47,2016-07-01
2015-07-01,0.003925907,0.0016703631968932081,0.001312833094117647,0.001312833094117647,0,48,2016-08-01
2015-08-01,0.002195689,0.00087521848140976,0.0013194484705882352,0.0013194484705882352,0,49,2016-09-01
