date,actual,predicted,train_mean,y_train_mean,inner_idx,sstart,window_end
2016-06-01,0.004776649,0.0027541393684217957,0.0012471592117647057,0.0012471592117647057,0,51,2016-11-01
2016-07-01,0.007133884,0.003175292786230366,0.0012639790352941176,0.0012639790352941176,0,52,2016-12-01
2016-08-01,0.001774054,0.005015712552324926,0.001290291905882353,0.001290291905882353,0,53,2017-01-01
2016-09-01,0.004297368,0.0036513579810468688,0.0014432650470588232,0.0014432650470588232,0,54,2017-02-01
2016-10-01,8e-05,-0.0008453992109752656,0.0016615895647058823,0.0016615895647058823,0,55,2017-03-01
2016-11-01,0.004279714,0.0010764841568289443,0.001732751482352941,0.001732751482352941,0,56,2017-04-01
2016-12-01,0.002225108,-0.0006631781925437851,0.001737259458823529,0.001737259458823529,0,57,2017-05-01
2017-01-01,0.005805781,0.001788540112458648,0.0018356724823529408,0.0018356724823529408,0,58,2017-06-01
2017-02-01,0.001959055,0.0012640721856098274,0.0017825658352941176,0.0017825658352941176,0,59,2017-07-01
2017-03-01,0.004181002,0.0029682100348710485,0.001861159023529412,0.001861159023529412,0,60,2017-08-01
2017-04-01,0.005276876,0.0036827555691983133,0.001942339788235294,0.001942339788235294,0,61,2017-09-01
2017-05-01,0.003675369,0.004254092617221619,0.001929202376470588,0.001929202376470588,0,62,2017-10-01
2017-06-01,0.002311777,-0.0007489642558298109,0.0019666962823529414,0.0019666962823529414,0,63,2017-11-01
2017-07-01,0.001324458,0.0014715446994739642,0.0018913974117647056,0.0018913974117647056,0,64,2017-12-01
2017-08-01,-0.001318687,-0.0013719470072181702,0.001923688494117647,0.001923688494117647,0,65,2018-01-01
2017-09-01,0.002236284,0.002519459821538933,0.0018771300352941173,0.0018771300352941173,0,66,2018-02-01
2017-10-01,0.001338224,0.0007607518753141827,0.001917565811764706,0.001917565811764706,0,67,2018-03-01
2017-11-01,0.004992827,0.004279285649254493,0.0018646084235294114,0.0018646084235294114,0,68,2018-04-01
2017-12-01,0.002710201,0.002446494338205778,0.0018762630352941172,0.0018762630352941172,0,69,2018-05-01
2018-01-01,-0.000420828,-0.001152875697656272,0.0018799499411764704,0.0018799499411764704,0,70,2018-06-01
2018-02-01,0.00514569,0.004488445058139761,0.0019337294470588233,0.0019337294470588233,0,71,2018-07-01
2018-03-01,0.00297025,0.0045209210485503346,0.0018959721176470582,0.0018959721176470582,0,72,2018-08-01
