Horizon,Metric,Model,Median,IQR,N
tau_6,mad,GBM,0.209354636289485,0.09087624401064498,105
tau_6,mad,LightGBM,0.21091192200806,0.12792344629664004,105
tau_6,mad,Random Forest,0.210918097965875,0.046373069181215004,105
tau_6,mad,XGBoost,0.19919862092344,0.06770842389139436,105
tau_6,mae,ARIMA,0.25709588317861837,0.09839497846856171,105
tau_6,mae,CatBoost,0.2219631489714244,0.05360436091603604,105
tau_6,mae,GBM,0.23217817547453415,0.0688106570529291,105
tau_6,mae,LightGBM,0.24214246928146582,0.08578768082852334,105
tau_6,mae,Random Forest,0.22151860224347916,0.06319544836857835,105
tau_6,mae,XGBoost,0.21957925791917832,0.06340884729830337,105
tau_6,r_sq,ARIMA,0.07109808776846194,0.14921095978083776,105
tau_6,r_sq,CatBoost,0.23726287420934467,0.2680932772029098,105
tau_6,r_sq,GBM,0.16188732819474694,0.2610147443916433,105
tau_6,r_sq,LightGBM,0.1657779114337008,0.2997650079553384,105
tau_6,r_sq,Random Forest,0.2732955709183933,0.283087955782117,105
tau_6,r_sq,XGBoost,0.2588201239524943,0.36081134108555013,105
tau_6,rmse,ARIMA,0.30286833045229383,0.1350801221549938,105
tau_6,rmse,CatBoost,0.2725073866410754,0.07455302180757573,105
tau_6,rmse,GBM,0.28447391279938544,0.08711332873944205,105
tau_6,rmse,LightGBM,0.30180807686468814,0.09718937546302586,105
tau_6,rmse,Random Forest,0.26368295593274554,0.09513591922224984,105
tau_6,rmse,XGBoost,0.26163524646951186,0.08123599127184045,105
tau_9,mad,ARIMA,0.22473104123368498,0.12059115168770002,102
tau_9,mad,CatBoost,0.22744888127379753,0.08054863079341498,102
tau_9,mad,GBM,0.21823095228254127,0.07459861635193504,102
tau_9,mad,LightGBM,0.18714444053700752,0.10535385315805623,102
tau_9,mad,Random Forest,0.2145871600906575,0.04616052353167627,102
tau_9,mad,XGBoost,0.21789304162974002,0.0653860803589996,102
